time,device_id,s_d0,s_t0,s_h0,lat,lon,school,time2
2016-04-25 04:42:16,28C2DDDD4505,17,29.75,77,24.9964339,121.5482935,景興國小,2016/4/25 5:30
2016-04-25 05:25:11,28C2DDDD450C,27,27.5,87,25.0522116,121.5636714,西松國小,2016/4/25 5:30
2016-04-25 05:23:57,28C2DDDD4534,27,30,65,25.0837421,121.5069631,葫蘆國小,2016/4/25 5:30
2016-04-25 05:25:13,28C2DDDD47C6,30,26.12,93,25.0199168,121.5305403,溫州國宅,2016/4/25 5:30
2016-04-25 05:24:48,28C2DDDD4234,30,28,83,25.0024355,121.5518875,興隆國小,2016/4/25 5:30
2016-04-25 05:24:48,28C2DDDD4234,30,28,83,25.0024355,121.5518875,興隆國小,2016/4/25 5:30
2016-04-25 05:24:04,28C2DDDD455E,30,28.12,96,25.0229842,121.4993232,萬大國小,2016/4/25 5:30
2016-04-25 05:24:47,28C2DDDD4414,32,26.5,95,25.0402449,121.619539,舊莊國小,2016/4/25 5:30
2016-04-25 05:25:16,28C2DDDD4588,33,27.75,88,25.0357882,121.5135444,台北市立大學附設實驗國小,2016/4/25 5:30
2016-04-25 05:24:42,28C2DDDD41C0,33,27.87,100,25.0205827,121.5287775,古亭國小,2016/4/25 5:30
2016-04-25 05:23:54,28C2DDDD4357,33,28.12,92,24.9875796,121.5500432,永建國小,2016/4/25 5:30
2016-04-25 05:25:51,28C2DDDD459A,34,27.87,84,25.0986884,121.5295965,福林國小,2016/4/25 5:30
2016-04-25 05:23:45,28C2DDDD4246,34,29.37,86,25.1269568,121.5076634,清江國小,2016/4/25 5:30
2016-04-25 05:25:12,28C2DDDD45A1,35,28.5,89,25.105839,121.482582,富安國小,2016/4/25 5:30
2016-04-25 05:24:16,28C2DDDD400A,36,28.62,83,25.049216,121.548605,敦化國小,2016/4/25 5:30
2016-04-25 05:24:40,28C2DDDD4372,36,29.12,84,25.0603451,121.5905901,潭美國小,2016/4/25 5:30
2016-04-25 05:23:46,28C2DDDD423E,37,27.25,89,25.043172,121.5035971,西門國小,2016/4/25 5:30
2016-04-25 05:23:46,28C2DDDD456A,37,27.87,89,25.0357732,121.55235,仁愛國小,2016/4/25 5:30
2016-04-25 05:24:44,28C2DDDD4790,38,27,100,25.085771,121.5601224,文湖國小,2016/4/25 5:30
2016-04-25 05:25:44,28C2DDDD41B2,38,28,86,25.073294,121.5363674,大佳國小,2016/4/25 5:30
2016-04-25 05:26:20,28C2DDDD458F,38,28.62,87,25.054721,121.5296301,吉林國小,2016/4/25 5:30
2016-04-25 05:26:30,28C2DDDD434F,39,29.37,75,25.0452404,121.5417844,懷生國小,2016/4/25 5:30
2016-04-25 05:25:38,28C2DDDD45A9,41,28,151,25.0652808,121.5161749,大同國小,2016/4/25 5:30
2016-04-25 05:25:32,28C2DDDD436D,42,27.62,89,25.0791258,121.5802392,內湖國小,2016/4/25 5:30
2016-04-25 05:24:00,28C2DDDD41FA,42,27.75,88,25.0565153,121.5521795,民生國小,2016/4/25 5:30
2016-04-25 05:26:34,28C2DDDD41EB,42,27.75,88,25.119488,121.505031,立農國小,2016/4/25 5:30
2016-04-25 05:24:00,28C2DDDD41FA,42,27.75,88,25.0565153,121.5521795,民生國小,2016/4/25 5:30
2016-04-25 05:25:48,28C2DDDD434D,43,28.5,88,25.0686959,121.6120147,南湖國小,2016/4/25 5:30
